,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,rikitea,92,PF,1539312982,100,-23.12,-134.97,21.62,5.91
1,khatanga,0,RU,1539312983,84,71.98,102.47,-4.26,6.51
2,brigantine,90,US,1539310620,97,39.41,-74.36,24.4,2.6
3,mataura,92,NZ,1539312983,67,-46.19,168.86,6.5,8.51
4,hermanus,44,ZA,1539312810,90,-34.42,19.24,11.1,2.81
5,castro,20,CL,1539312984,100,-42.48,-73.76,1.97,1.31
6,vardo,90,US,1539310500,70,39.62,-77.74,21.7,7.2
7,kapaa,90,US,1539309360,74,22.08,-159.32,28.9,4.1
8,cape town,20,ZA,1539306000,76,-33.93,18.42,14.0,9.3
9,baykit,56,RU,1539312984,80,61.68,96.39,-1.56,2.66
10,hobart,75,AU,1539311400,58,-42.88,147.33,15.0,4.6
11,vostok,44,RU,1539312985,77,46.45,135.83,7.0,1.66
12,ribeira grande,92,PT,1539312851,100,38.52,-28.7,20.72,14.26
13,east london,24,ZA,1539312985,100,-33.02,27.91,18.52,11.06
14,yantikovo,20,RU,1539309600,74,55.52,47.78,1.0,4.0
15,mar del plata,0,AR,1539312986,51,-46.43,-67.52,9.1,5.81
16,nikolskoye,90,RU,1539309600,100,59.7,30.79,6.0,3.0
17,ulladulla,75,AU,1539309600,51,-35.36,150.48,17.0,6.7
18,lebu,0,ET,1539312986,79,8.96,38.73,4.32,1.61
19,albany,90,US,1539311280,86,42.65,-73.75,19.4,2.21
20,uribia,88,CO,1539312987,97,11.71,-72.27,24.5,2.31
21,jamestown,0,AU,1539312987,44,-33.21,138.6,22.47,2.46
22,cherskiy,48,RU,1539312989,96,68.75,161.3,-2.98,0.91
23,san patricio,80,PY,1539312875,96,-26.98,-56.83,21.95,1.66
24,busselton,92,AU,1539312989,100,-33.64,115.35,17.07,5.56
25,mlawa,0,PL,1539312989,91,53.11,20.38,9.52,4.81
26,evensk,76,RU,1539312989,100,61.92,159.24,5.1,2.11
27,new norfolk,75,AU,1539311400,58,-42.78,147.06,15.0,4.6
28,dikson,80,RU,1539312990,100,73.51,80.55,-0.01,9.31
29,zabaykalsk,0,CN,1539312990,46,49.64,117.33,11.02,2.06
30,sumbe,76,AO,1539312990,100,-11.2,13.84,21.32,0.16
31,vaini,0,IN,1539312990,58,15.34,74.49,26.6,1.21
